"author","birth","death","wikipageid","books","bio"
"Marie-Claire Blais",1939-10-05,,989256,"A Season in the Life of Emmanuel|Mad Shadows (novel)","Marie-Claire Blais, CC OQ MSRC (born 5 October 1939 in Quebec City) is a Canadian writer, novelist, poet, and playwright."
"Tom Cain (author)",1959-01-17,,33701722,"Carver (novel)|The Survivor (Cain novel)|Assassin (Cain novel)|Dictator (novel)|The Accident Man","David Thomas (born 17 January 1959 in Moscow), better known by the pen name Tom Cain, is an English journalist and author of a series of thriller novels about protagonist Samuel Carver."
"Edmund White",1940-01-13,,1757499,"A Boy's Own Story|The Farewell Symphony|The Joy of Gay Sex|Terre Haute (play)|The Beautiful Room Is Empty","Edmund Valentine White III (born January 13, 1940) is an American novelist, memoirist, and an essayist on literary and social topics. Much of his writing is on the theme of same-sex love. Probably his best-known books are The Joy of Gay Sex (1977) (written with Charles Silverstein) and his trio of autobiographic novels, A Boy's Own Story (1982), The Beautiful Room Is Empty (1988) and The Farewell Symphony (1997)."
"Christopher Paul Curtis",1953-05-10,,4517901,"The Mighty Miss Malone|Bud, Not Buddy|The Watsons Go to Birmingham – 1963|Elijah of Buxton","Christopher Paul Curtis (born May 10, 1953) is an African-American writer of children's books. He may be known best for the Newbery Medal-winning Bud, Not Buddy and the critically acclaimed The Watsons Go to Birmingham – 1963."
"Maiya Williams",1962-12-18,,20571025,"The Golden Hour (novel)","Maiya Williams (born December 18, 1962 in Corvallis, Oregon) is an American author, television producer, and screenwriter."
"Ed Krol",1951-08-21,,5828150,"Hitchhiker's Guide to the Internet|Whole Internet User's Guide and Catalog","Ed Krol was the network manager at the National Center for Supercomputing Applications and the former assistant director of Campus Information Technologies and Educational Services (CITES) at the University of Illinois at Urbana-Champaign. He is also the author of The Hitchhiker's Guide to the Internet and The Whole Internet User's Guide and Catalog."
"Chang-Rae Lee",1965-07-29,,949710,"A Gesture Life|Native Speaker (novel)","Chang-rae Lee (born July 29, 1965) is a Korean American novelist and a professor of creative writing at Princeton University, where he has served as the director of Princeton's Program in Creative Writing."
"Robyn Young","1975",,11916371,"Requiem (Young novel)|Insurrection (Young novel)|Crusade (Young novel)|Brethren (novel)","Robyn Young (born in Oxford in September 1975) is an English author of historical fiction. She is most widely known for her Brethren trilogy, set in the Middle Ages. Her books have been published in more than 15 languages."
"Tami Hoag",1959-01-20,,1285009,"Kill the Messenger (novel)|Ashes to Ashes (novel)|Dust to Dust (novel)","Tami Hoag (born Tami Mikkelson on January 20, 1959) is an American novelist, best known for her work in the romance and thriller genres. More than 22 million copies of her books are in print."
"Eric Klinenberg",1970-11-14,,32184683,"Modern Romance: An Investigation","Eric M. Klinenberg (born November 14, 1970) is an American sociologist and a scholar of urban studies, culture, and media. He is best known for his contributions as a public sociologist."
"Michael Crichton",1942-10-23,2008-11-04,20762,"Micro (novel)|Electronic Life|Drug of Choice|Easy Go|Odds On|Binary (novel)|The Venom Business|Pirate Latitudes|Jurassic Park (novel)|A Case of Need|Airframe (novel)|Congo (novel)|Disclosure (novel)|Eaters of the Dead|Next (novel)|Prey (novel)|Rising Sun (novel)|Sphere (novel)|State of Fear|The Great Train Robbery (novel)|The Lost World (Crichton novel)|The Terminal Man|Timeline (novel)|Zero Cool|Dealing: or the Berkeley-to-Boston Forty-Brick Lost-Bag Blues|Five Patients|Scratch One|Travels (book)|Grave Descend|Jasper Johns (book)","John Michael Crichton /ˈdʒɒn ˈmaɪkəl ˈkraɪtən/, (October 23, 1942 – November 4, 2008) was an American best-selling author, physician, producer, director and screenwriter, best known for his work in the science fiction, medical fiction and thriller genres. His books have sold over 200 million copies worldwide, and many have been adapted into films. In 1994, Crichton became the only creative artist ever to have works simultaneously charting at No. 1 in US television (ER), film (Jurassic Park), and book sales (Disclosure). His literary works are usually within the action genre and heavily feature technology. His novels epitomize the techno-thriller genre of literature, often exploring technology and failures of human interaction with it, especially resulting in catastrophes with biotechnology. Many of his future history novels have medical or scientific underpinnings, reflecting his medical training and science background. He authored, among other works, The Andromeda Strain (1969), Congo (1980), Sphere (1987), Travels (1988), Jurassic Park (1990), Rising Sun (1992), Disclosure (1994), The Lost World (1995), Airframe (1996), Timeline (1999), Prey (2002), State of Fear (2004), Next (2006; the final book published before his death), Pirate Latitudes (2009), and a final unfinished techno-thriller, Micro, which was published in November 2011."
"Penelope Lively",1933-03-17,,1349742,"Moon Tiger|According to Mark|City of the Mind|The Voyage of QV66|The Ghost of Thomas Kempe","Dame Penelope Margaret Lively (born 17 March 1933) is a British writer of fiction for both children and adults. She has won both the Booker Prize (Moon Tiger, 1987) and the Carnegie Medal for British children's books (The Ghost of Thomas Kempe, 1973)."
"Rick Ungar",1950-11-04,,10124198,"Legend of the Dragon (TV series)","Richard ""Rick"" Ungar was a Hollywood writer and producer in television, particularly in the animation industry. He created and worked on Biker Mice From Mars, which began its first run in the United States and the United Kingdom in 1993."
"Michael Connelly",1956-07-21,,543284,"The Black Box (novel)|Void Moon|The Narrows (Connelly novel)|Nine Dragons (novel)|Angels Flight (novel)|The Closers (Connelly novel)|Lost Light|Blood Work (novel)|City of Bones (Connelly novel)|The Overlook|The Poet (novel)|The Lincoln Lawyer|The Last Coyote|The Reversal|The Fifth Witness|Chasing the Dime|Echo Park (novel)|The Concrete Blonde|A Darkness More Than Night|Trunk Music (novel)|The Scarecrow (Connelly novel)|The Black Ice|The Drop (Connelly novel)|The Brass Verdict|The Black Echo|The Burning Room|The Gods of Guilt","Michael Connelly (born July 21, 1956) is an American author of detective novels and other crime fiction, notably those featuring LAPD Detective Hieronymus ""Harry"" Bosch and criminal defense attorney Mickey Haller. His books, which have been translated into 39 languages, have garnered him . Connelly was the President of the Mystery Writers of America from 2003 to 2004."
"Kat Richardson",1964-05-22,,12619874,"Mean Streets (anthology)","Kat Richardson (born May 22, 1964) is an American author best known for her Greywalker urban fantasy series. The series consists of nine novels. In the 9th novel she states, ""This is the last Greywalker novel, at least for a while."" Harper Blaine, the heroine of the series, is a private investigator living in Seattle and was killed whilst pursuing a case. She was dead for only two minutes and brought back by medical intervention. During her recovery, she discovers she is able to recognize witches and vampires, see ghosts and is aware of other elements of the supernatural world . She discovers that her brief death has turned her into a Greywalker, a human able to move back and forth at will through the Grey, the realm that exists between our world and the next."
"David Kesterton","1948",,9025436,"The Darkling","David Kesterton (born 1948) is a Canadian novelist. His first book, The Darkling was published in 1982 by Arkham House. A corrected, authorized edition was published in 2011 by Necrominster Press."
"Jeanne DuPrau",1944-06-09,,4459033,"Car Trouble (Jeanne DuPrau novel)|Golden God|The City of Ember|The People of Sparks|The Prophet of Yonwood|The Earth House|The Diamond of Darkhold","Jeanne DuPrau (born 1944 in San Francisco, California) is an American writer, best known for The City of Ember, a series of novels for young people. She lives in Menlo Park, California."
"Sterling Seagrave",1937-04-15,,2846455,"Lords of the Rim","Sterling Seagrave in an American historian (b. 1937). He is author of The Soong Dynasty, The Marcos Dynasty, Gold Warriors and numerous other books which address unofficial and clandestine aspects of 20th Century political history of the countries in the Far East."
"Nikolai Leskov",1831-02-16,1895-03-05,786893,"The Tale of Cross-eyed Lefty from Tula and the Steel Flea|The Life of a Peasant Woman|A Decayed Family|At Daggers Drawn (novel)|The Amazon (novella)|The Islanders (Nikolai Leskov novel)|Neglected People|The Cathedral Clergy|Musk-ox (Nikolai Leskov)|No Way Out (novel)|Old Years in Plodomasovo|The Sealed Angel|The Enchanted Wanderer","Nikolai Semyonovich Leskov (Russian: Никола́й Семёнович Леско́в; 16 February [O.S. 4 February] 1831 — 5 March [O.S. 21 February] 1895) was a Russian novelist, short story writer, playwright, and journalist who also wrote under the pseudonym M. Stebnitsky. Praised for his unique writing style and innovative experiments in form, and held in high esteem by Leo Tolstoy, Anton Chekhov and Maxim Gorky among others, Leskov is credited with creating a comprehensive picture of contemporary Russian society using mostly short literary forms. His major works include Lady Macbeth of Mtsensk (1865) (which was later made into an opera by Shostakovich), The Cathedral Clergy (1872), The Enchanted Wanderer (1873), and The Tale of Cross-eyed Lefty from Tula and the Steel Flea (1881). Leskov received his formal education at the Oryol Lyceum. In 1847 Leskov joined the Oryol criminal court office, later transferring to Kiev where he worked as a clerk, attended university lectures, mixed with local people, and took part in various student circles. In 1857 Leskov quit his job as a clerk and went to work for the private trading company Scott & Wilkins owned by Alexander Scott, his aunt's English husband. His literary career began in the early 1860s with the publication of his short story The Extinguished Flame (1862), and his novellas Musk-Ox (May 1863) and The Life of a Peasant Woman (September, 1863). His first novel No Way Out was published under the pseudonym M. Stebnitsky in 1864. From the mid-1860s to the mid-1880s Leskov published a wide range of works, including journalism, sketches, short stories, and novels. Leskov's major works, many of which continue to be published in modern versions, were written during this time. A number of his later works were banned because of their satirical treatment of the Russian Orthodox Church and its functionaries. Leskov died on 5 March 1895, aged 64, and was interred in the Volkovo Cemetery in Saint Petersburg, in the section reserved for literary figures."
